scorer,full_name,similarity,token_compare
André-Pierre Gignac,André-Pierre Gignac,1,TRUE
Andreas Granqvist,Andreas Granqvist,1,TRUE
Manuel Fernandes,Manuel Henrique Tavares Fernandes,0.653061224,TRUE
Antonio dos Santos,Dante Bonfim da Costa Santos,0.695652174,FALSE
Patrick Percin,Loïc Perrin,0.56,FALSE
Ronald Vargas,Borja Valero Iglesias,0.529411765,FALSE
Adnan Januzaj,Adnan Januzaj,1,TRUE
Jonas Hector,Jonas Hector,1,TRUE
Sofiane Daoud,Moanes Dabour,0.692307692,FALSE
Carlos Muñoz,Óliver Torres Muñoz,0.580645161,FALSE
Wasieu Sounmonu,Yassine Bounou,0.689655172,FALSE
Jonas Hofmann,Jonas Hofmann,1,TRUE
Dário Monteiro,Otávio Edmilson da Silva Monteiro,0.510638298,FALSE
Jonathan Fabbro,Jonathan Castro Otto,0.685714286,FALSE
Alexandru Dedov,Leander Dendoncker,0.606060606,FALSE
Roman Hubník,Roman Zobnin,0.666666667,FALSE
Ricardo Horta,Ricardo Jorge da Luz Horta,0.666666667,TRUE
Tiago Mendes,Thiago Henrique Mendes Ribeiro,0.571428571,FALSE
Jefferson Lerma,Jefferson Andrés Lerma Solís,0.697674419,TRUE
Jean-Philippe Durand,Jean-Philippe Gbamin,0.8,FALSE
Altino Marcondes,Iván Marcone,0.642857143,FALSE
Eduardo Bennett,Darío Benedetto,0.666666667,FALSE
Marian Hristov,Marwin Hitz,0.72,FALSE
Nathaniel Lepani,Nathaniel Edwin Clyne,0.594594595,FALSE
Adem Ljajić,Adem Ljajic,0.909090909,FALSE
Jóhann Berg Guðmundsson,Johann  Berg Guðmunds­son,0.916666667,FALSE
Denílson de Oliveira Araújo,Elkeson de Oliveira Cardoso,0.703703704,TRUE
Enrique García,Enrique García Martínez,0.756756757,TRUE
Sergio Cervato,Sergio Escudero Palomo,0.611111111,FALSE
Pablo Herrera Barrantes,Iago Herrerín Buisán,0.558139535,FALSE
Víctor Ruiz,Víctor Ruíz Torre,0.714285714,FALSE
Gary Medel,Gary Alexis Medel Soto,0.625,TRUE
Younès Belhanda,Younès Belhanda,1,TRUE
Hugo Rodallega,Hugo Mallo Novegil,0.625,FALSE
Rafael García Torres,Borja García Freire,0.564102564,FALSE
Wahbi Khazri,Wahbi Khazri,1,TRUE
Neil Jones,Phil Jones,0.8,FALSE
Alfreð Finnbogason,Alfreð Finnbogason,1,TRUE
Vinícius Júnior,Vinícius José de Oliveira Júnior,0.638297872,TRUE
Héctor Socorro,Héctor Junior Firpo Adamés,0.55,FALSE
Emre Belözoğlu,Emre Belözoglu,0.928571429,FALSE
Fernando Torres,Fernando José Torres Sanz,0.75,TRUE
Bastian Schweinsteiger,Bastian Schweinsteiger,1,TRUE
Burak Yılmaz,Burak Yilmaz,0.916666667,TRUE
Mario Gómez,Mario Gómez García,0.75862069,TRUE
Ashley Young,Ashley Young,1,TRUE
Ryan Babel,Ryan Guno Babel,0.8,TRUE
Bruno Conti,Benoît Costil,0.666666667,FALSE
Salomon Kalou,Salomon Armand Magloire Kalou,0.619047619,TRUE
Ezequiel Lavezzi,Ezequiel Iván Lavezzi,0.864864865,TRUE
Hatem Ben Arfa,Hatem Ben Arfa,1,TRUE
Brent Fisher,Ben Foster,0.727272727,FALSE
Tomasz Hajto,Tom Heaton,0.727272727,FALSE
Célestin Oliver,Charles Dias De Oliveira,0.615384615,FALSE
Gary Cahill,Gary Cahill,1,TRUE
Alex Iwobi,Alex Iwobi,1,TRUE
Nat Lofthouse,Ruben Loftus-Cheek,0.516129032,FALSE
Alexandru Dedov,Alexandr Selikhov,0.75,FALSE
Rodrigo Palacio,Johan Andrés Mojica Palacio,0.571428571,FALSE
Enrique Jara Saguier,Wílmar Enrique Barrios Terán,0.541666667,FALSE
Carlos Humberto Suazo,Carlos Roberto Izquierdoz,0.652173913,FALSE
Walter Centeno,Walter Benítez,0.785714286,FALSE
Nikola Milenković,Nikola Maksimovic,0.705882353,FALSE
Aleksandar Mitrović,Aleksandar Mitrovic,0.947368421,FALSE
Marco Streller,Marco Sportiello,0.733333333,FALSE
Adelardo Rodríguez,Ander Capa Rodríguez,0.736842105,FALSE
César Augusto Freire,Marcelo Augusto Ferreira Teixeira,0.641509434,FALSE
Youri Tielemans,Youri Tielemans,1,TRUE
Stanislav Lobotka,Stanislav Lobotka,1,TRUE
Maximilian Göppel,Maximilian Philipp,0.742857143,FALSE
Léon Dolmans,Léo Dubois,0.636363636,FALSE
Luis Luna,Lewis Dunk,0.631578947,FALSE
Christophe Ohrel,Christopher Schindler,0.702702703,FALSE
Yevhen Konoplyanka,Yevhen Konoplyanka,1,TRUE
Philippe Senderos,Pedro Filipe Teodósio Mendes,0.533333333,FALSE
Ricardo Horta,Riccardo Saponara,0.733333333,FALSE
Ladislao Kubala,Layvin Kurzawa,0.551724138,FALSE
Martin Hinteregger,Martin Hinteregger,1,TRUE
Daniel da Mota,Danny  Vieira da Costa,0.666666667,FALSE
Fernando Marcos,Fernando Lucas Martins,0.702702703,FALSE
Willy Roy,Willy Boly,0.842105263,FALSE
Alexander Linwood,Alexander Schwolow,0.742857143,FALSE
Gert Dörfel,Gregoire Defrel,0.615384615,FALSE
Pedro González Vera,Álvaro González Soberón,0.666666667,FALSE
Leonardo Bonucci,Leonardo Bittencourt,0.666666667,FALSE
André Carrillo,André Martín Carrillo Díaz,0.7,TRUE
Mohamed Elyounoussi,Mohamed Elyounoussi,1,TRUE
Cristian Martínez,Orestis Karnezis,0.606060606,FALSE
Marcos Senna,Óscar de Marcos Arana,0.545454545,FALSE
Ryan Babel,Rémy Cabella,0.636363636,FALSE
Joe Haverty,Joe Hart,0.842105263,FALSE
