,scorer,full_name,similarity
170,Tiago Mendes,Thiago Henrique Mendes Ribeiro,0.5714285714285714
171,Jefferson Lerma,Jefferson Andrés Lerma Solís,0.6976744186046512
172,Jean-Philippe Durand,Jean-Philippe Gbamin,0.8
173,Altino Marcondes,Iván Marcone,0.6428571428571429
174,Eduardo Bennett,Darío Benedetto,0.6666666666666666
175,Marian Hristov,Marwin Hitz,0.72
176,Nathaniel Lepani,Nathaniel Edwin Clyne,0.5945945945945946
177,Adem Ljajić,Adem Ljajic,0.9090909090909091
178,Jóhann Berg Guðmundsson,Johann  Berg Guðmunds­son,0.9166666666666666
179,Denílson de Oliveira Araújo,Elkeson de Oliveira Cardoso,0.7037037037037037
180,Enrique García,Enrique García Martínez,0.7567567567567568
181,Sergio Cervato,Sergio Escudero Palomo,0.6111111111111112
182,Pablo Herrera Barrantes,Iago Herrerín Buisán,0.5581395348837209
183,Víctor Ruiz,Víctor Ruíz Torre,0.7142857142857143
184,Gary Medel,Gary Alexis Medel Soto,0.625
185,Younès Belhanda,Younès Belhanda,1.0
186,Hugo Rodallega,Hugo Mallo Novegil,0.625
187,Rafael García Torres,Borja García Freire,0.5641025641025641
188,Wahbi Khazri,Wahbi Khazri,1.0
189,Neil Jones,Phil Jones,0.8
190,Alfreð Finnbogason,Alfreð Finnbogason,1.0
191,Vinícius Júnior,Vinícius José de Oliveira Júnior,0.6382978723404256
192,Héctor Socorro,Héctor Junior Firpo Adamés,0.55
193,Emre Belözoğlu,Emre Belözoglu,0.9285714285714286
194,Fernando Torres,Fernando José Torres Sanz,0.75
195,Bastian Schweinsteiger,Bastian Schweinsteiger,1.0
196,Burak Yılmaz,Burak Yilmaz,0.9166666666666666
197,Mario Gómez,Mario Gómez García,0.7586206896551724
198,Ashley Young,Ashley Young,1.0
199,Ryan Babel,Ryan Guno Babel,0.8
200,Bruno Conti,Benoît Costil,0.6666666666666666
201,Salomon Kalou,Salomon Armand Magloire Kalou,0.6190476190476191
202,Ezequiel Lavezzi,Ezequiel Iván Lavezzi,0.8648648648648649
203,Hatem Ben Arfa,Hatem Ben Arfa,1.0
204,Brent Fisher,Ben Foster,0.7272727272727273
205,Tomasz Hajto,Tom Heaton,0.7272727272727273
206,Célestin Oliver,Charles Dias De Oliveira,0.6153846153846154
207,Gary Cahill,Gary Cahill,1.0
208,Alex Iwobi,Alex Iwobi,1.0
209,Nat Lofthouse,Ruben Loftus-Cheek,0.5161290322580645
210,Alexandru Dedov,Alexandr Selikhov,0.75
211,Rodrigo Palacio,Johan Andrés Mojica Palacio,0.5714285714285714
212,Enrique Jara Saguier,Wílmar Enrique Barrios Terán,0.5416666666666666
213,Carlos Humberto Suazo,Carlos Roberto Izquierdoz,0.6521739130434783
214,Walter Centeno,Walter Benítez,0.7857142857142857
215,Nikola Milenković,Nikola Maksimovic,0.7058823529411765
216,Aleksandar Mitrović,Aleksandar Mitrovic,0.9473684210526315
217,Marco Streller,Marco Sportiello,0.7333333333333333
218,Adelardo Rodríguez,Ander Capa Rodríguez,0.7368421052631579
219,César Augusto Freire,Marcelo Augusto Ferreira Teixeira,0.6415094339622641
220,Youri Tielemans,Youri Tielemans,1.0
221,Stanislav Lobotka,Stanislav Lobotka,1.0
222,Maximilian Göppel,Maximilian Philipp,0.7428571428571429
223,Léon Dolmans,Léo Dubois,0.6363636363636364
224,Luis Luna,Lewis Dunk,0.631578947368421
225,Christophe Ohrel,Christopher Schindler,0.7027027027027027
226,Yevhen Konoplyanka,Yevhen Konoplyanka,1.0
227,Philippe Senderos,Pedro Filipe Teodósio Mendes,0.5333333333333333
228,Ricardo Horta,Riccardo Saponara,0.7333333333333333
229,Ladislao Kubala,Layvin Kurzawa,0.5517241379310345
230,Martin Hinteregger,Martin Hinteregger,1.0
231,Daniel da Mota,Danny  Vieira da Costa,0.6666666666666666
232,Fernando Marcos,Fernando Lucas Martins,0.7027027027027027
233,Willy Roy,Willy Boly,0.8421052631578947
234,Alexander Linwood,Alexander Schwolow,0.7428571428571429
235,Gert Dörfel,Gregoire Defrel,0.6153846153846154
236,Pedro González Vera,Álvaro González Soberón,0.6666666666666666
237,Leonardo Bonucci,Leonardo Bittencourt,0.6666666666666666
238,André Carrillo,André Martín Carrillo Díaz,0.7
239,Mohamed Elyounoussi,Mohamed Elyounoussi,1.0
240,Cristian Martínez,Orestis Karnezis,0.6060606060606061
241,Marcos Senna,Óscar de Marcos Arana,0.5454545454545454
242,Ryan Babel,Rémy Cabella,0.6363636363636364
243,Joe Haverty,Joe Hart,0.8421052631578947
244,José Manuel Moreno,José Manuel Jurado Marín,0.7142857142857143
245,Elías Hernández,Elías Hernán Hernández Jacuinde,0.6521739130434783
246,Daniel Ruiz,Daniel Ginczek,0.72
247,Luis Martínez,Lucas Pérez Martínez,0.7272727272727273
248,Jefferson Farfán,Jefferson Agustín Farfán Guadalupe,0.64
249,Ansi Agolli,Asmir Begovic,0.5833333333333334
250,Dominique da Silva,Vitorino Hilton da Silva,0.6190476190476191
251,Juan Bautista Agüero,Julian Baumgartlinger,0.6341463414634146
252,Francisco Molina,Esteban Félix Granero Molina,0.5454545454545454
253,Zlatko Junuzović,Zlatko Junuzovic,0.9375
254,Victor Moses,Victor Moses,1.0
255,Mathieu Dossevi,Mathieu Debuchy,0.6666666666666666
256,Guillermo Albornoz,Guillermo Alfonso Maripán Loaysa,0.64
257,César Martín,Iván Cuéllar Sacristán,0.5294117647058824
258,Fabian Johnson,Fabian Johnson,1.0
259,Alexandre Martínez Palau,Aarón Martín Caricol,0.5909090909090909
260,Gastón Pereiro,Gastón Rodrigo Pereiro López,0.6666666666666666
261,Benjamin Moukandjo,Benjamin Moukandjo Bilé,0.8780487804878049
262,Martin Harnik,Martin Harnik,1.0
263,James Ward-Prowse,James  Ward-Prowse,0.9714285714285714
264,Alessandro Diamanti,Romain Alessandrini,0.631578947368421
265,Pedro Alejandro García,Manuel Alejandro García Sánchez,0.6792452830188679
266,Michail Antonio,Michail Antonio,1.0
267,Sebastian Mila,Adrien Sebastian Perruchet Silva,0.5652173913043478
268,Steve Morrow,Steve Cook,0.7272727272727273
269,Bent Jensen,Ben Mee,0.6666666666666666
270,Adriano Leite Ribeiro,Adriano Correia Claro,0.6190476190476191
271,Jeremain Lens,Jeremain Lens,1.0
