,Unnamed: 0,scorer,full_name,similarity,fn_tokens,pl_tokens,token_compare
16161,17237,Osvaldo Fernando Saturnino de Oliveira,Fernando Marçal de Oliveira,0.7076923076923077,"['Fernando', 'Marçal', 'de', 'Oliveira']","['Osvaldo', 'Fernando', 'Saturnino', 'de', 'Oliveira']",True
16162,17238,Mark Wright,Marc Albrighton,0.6923076923076923,"['Marc', 'Albrighton']","['Mark', 'Wright']",False
16163,17239,Dušan Basta,Dušan Basta,1.0,"['Dušan', 'Basta']","['Dušan', 'Basta']",True
16164,17240,Jamie Maclaren,Jaime Mata Arnaiz,0.6451612903225806,"['Jaime', 'Mata', 'Arnaiz']","['Jamie', 'Maclaren']",False
16165,17241,Ismaïla Sarr,Ismaïla Sarr,1.0,"['Ismaïla', 'Sarr']","['Ismaïla', 'Sarr']",True
16166,17242,Carlos María Morales,Mauro Matías Zárate,0.6153846153846154,"['Mauro', 'Matías', 'Zárate']","['Carlos', 'María', 'Morales']",False
16167,17243,Lorenzo Pellegrini,Lorenzo Tonelli,0.7272727272727273,"['Lorenzo', 'Tonelli']","['Lorenzo', 'Pellegrini']",False
16168,17244,Andrea Pirlo,Andrea Poli,0.782608695652174,"['Andrea', 'Poli']","['Andrea', 'Pirlo']",False
16169,17245,Marvin Monterrosa,Martín Montoya Torralbo,0.6,"['Martín', 'Montoya', 'Torralbo']","['Marvin', 'Monterrosa']",False
16170,17246,Rubén Óscar Valdez,Rubens Omar Óscar Sambueza,0.6363636363636364,"['Rubens', 'Omar', 'Óscar', 'Sambueza']","['Rubén', 'Óscar', 'Valdez']",False
16171,17247,Daler Kuzyayev,Daler Kuzyaev,0.9629629629629628,"['Daler', 'Kuzyaev']","['Daler', 'Kuzyayev']",False
16172,17248,Nolberto Solano,Roberto Soriano,0.8,"['Roberto', 'Soriano']","['Nolberto', 'Solano']",False
16173,17249,Armando Cruz,Armando Izzo,0.75,"['Armando', 'Izzo']","['Armando', 'Cruz']",False
16174,17250,Benjamin Huggel,Benjamin Bourigeaud,0.7058823529411765,"['Benjamin', 'Bourigeaud']","['Benjamin', 'Huggel']",False
16175,17251,Nacer Chadli,Nacer Chadli,1.0,"['Nacer', 'Chadli']","['Nacer', 'Chadli']",True
16176,17252,José Bustamante,José Gustavo Sand,0.6875,"['José', 'Gustavo', 'Sand']","['José', 'Bustamante']",False
16177,17253,Sadio Mané,Soualiho Meïté,0.5833333333333334,"['Soualiho', 'Meïté']","['Sadio', 'Mané']",False
16178,17254,Maxi Pereira,Maximiliano Pereira,0.7741935483870968,"['Maximiliano', 'Pereira']","['Maxi', 'Pereira']",False
16179,17255,Tomás Fernández,Tomás Eduardo Rincón Hernández,0.6222222222222222,"['Tomás', 'Eduardo', 'Rincón', 'Hernández']","['Tomás', 'Fernández']",True
